step,epoch,split,loss,RPA,RCA,MAE_cents,learning_rate,wall_time_sec
26200,1,train,0.015721,0.6448,0.6500,116.80,5.00e-05,1358.9
26300,1,train,0.015837,0.6439,0.6484,119.37,5.00e-05,1363.2
26400,1,train,0.015463,0.6598,0.6641,112.03,5.00e-05,1367.5
26500,1,train,0.015531,0.6456,0.6514,115.78,5.00e-05,1371.8
26600,1,train,0.015654,0.6496,0.6540,113.99,5.00e-05,1376.1
26700,1,train,0.016029,0.6468,0.6512,118.66,5.00e-05,1380.4
26800,1,train,0.015906,0.6421,0.6463,117.12,5.00e-05,1384.7
26900,1,train,0.015546,0.6379,0.6430,116.77,5.00e-05,1389.0
27000,1,train,0.015665,0.6506,0.6548,114.17,5.00e-05,1393.3
27100,1,train,0.015431,0.6622,0.6654,110.23,5.00e-05,1397.6
27200,1,train,0.015789,0.6564,0.6626,118.83,5.00e-05,1401.9
27300,1,train,0.015615,0.6518,0.6562,115.85,5.00e-05,1406.2
27400,1,train,0.015156,0.6842,0.6874,110.29,5.00e-05,1410.4
27500,1,train,0.015408,0.6599,0.6634,111.95,5.00e-05,1414.7
27600,1,train,0.015629,0.6535,0.6585,116.27,5.00e-05,1419.0
27700,1,train,0.015474,0.6626,0.6662,111.19,5.00e-05,1423.3
27800,1,train,0.015603,0.6599,0.6644,116.08,5.00e-05,1427.6
27900,1,train,0.015644,0.6595,0.6630,111.20,5.00e-05,1432.0
28000,1,train,0.015946,0.6511,0.6562,122.57,5.00e-05,1436.3
28100,1,train,0.015490,0.6599,0.6644,120.16,5.00e-05,1440.5
28200,1,train,0.015271,0.6595,0.6646,110.06,5.00e-05,1444.8
28300,1,train,0.015129,0.6847,0.6873,108.39,5.00e-05,1449.1
28400,1,train,0.015413,0.6640,0.6669,109.39,5.00e-05,1453.4
28500,1,train,0.015110,0.6643,0.6704,107.55,5.00e-05,1457.7
28600,1,train,0.015548,0.6579,0.6615,111.23,5.00e-05,1462.0
28700,1,train,0.015572,0.6596,0.6640,114.22,5.00e-05,1466.3
28800,1,train,0.015395,0.6585,0.6611,111.61,5.00e-05,1470.6
28900,1,train,0.015508,0.6706,0.6754,108.70,5.00e-05,1474.9
29000,1,train,0.016058,0.6562,0.6597,110.67,5.00e-05,1479.2
29100,1,train,0.015523,0.6505,0.6528,113.47,5.00e-05,1483.5
29200,1,train,0.015345,0.6621,0.6666,113.20,5.00e-05,1487.8
29300,1,train,0.015587,0.6552,0.6585,109.57,5.00e-05,1492.1
29400,1,train,0.015730,0.6516,0.6577,112.70,5.00e-05,1496.4
29500,1,train,0.015623,0.6486,0.6531,108.79,5.00e-05,1500.6
29600,1,train,0.015142,0.6767,0.6798,105.15,5.00e-05,1504.9
29700,1,train,0.015510,0.6710,0.6754,114.65,5.00e-05,1509.2
29800,1,train,0.015745,0.6593,0.6622,116.00,5.00e-05,1513.5
29900,1,train,0.015492,0.6518,0.6569,115.28,5.00e-05,1517.8
30000,1,train,0.015404,0.6657,0.6715,111.65,5.00e-05,1522.1
30000,1,val,0.015689,0.6325,0.6374,123.32,5.00e-05,1637.9
30100,1,train,0.015630,0.6548,0.6578,107.14,5.00e-05,1642.5
30200,1,train,0.015719,0.6555,0.6590,110.74,5.00e-05,1646.8
30300,1,train,0.015740,0.6487,0.6528,117.05,5.00e-05,1651.1
30400,1,train,0.015476,0.6530,0.6575,105.79,5.00e-05,1655.4
30500,1,train,0.015679,0.6684,0.6719,117.09,5.00e-05,1659.7
30600,1,train,0.015755,0.6591,0.6639,114.66,5.00e-05,1663.9
30700,1,train,0.015595,0.6487,0.6547,113.15,5.00e-05,1668.2
30800,1,train,0.015468,0.6687,0.6731,112.09,5.00e-05,1672.5
30900,1,train,0.015512,0.6596,0.6637,110.75,5.00e-05,1676.8
31000,1,train,0.015561,0.6631,0.6654,110.91,5.00e-05,1681.1
31100,1,train,0.015496,0.6706,0.6738,110.21,5.00e-05,1685.4
31200,1,train,0.015898,0.6524,0.6569,115.09,5.00e-05,1689.7
31300,1,train,0.015988,0.6400,0.6448,114.39,5.00e-05,1694.0
31400,1,train,0.015611,0.6549,0.6605,112.91,5.00e-05,1698.2
31500,1,train,0.015842,0.6507,0.6548,119.54,5.00e-05,1702.5
31600,1,train,0.015456,0.6559,0.6597,110.45,5.00e-05,1706.8
31700,1,train,0.015039,0.6647,0.6694,102.73,5.00e-05,1711.1
